New,Old
Antigua and Barbuda,Barbuda
Antigua and Barbuda,Antigua
Burma,Myanmar
Cabo Verde,Cape Verde
Congo (Brazzaville),Republic of Congo
Congo (Kinshasa),Democratic Republic of the Congo
Cote d'Ivoire,Ivory Coast
Czechia,Czech Republic
Eswatini,Swaziland
Holy See,Vatican
"Korea, South",South Korea
North Macedonia,Macedonia
Saint Kitts and Nevis,Saint Kitts
Saint Kitts and Nevis,Nevis
Saint Vincent and the Grenadines,Saint Vincent
Saint Vincent and the Grenadines,Grenadines
Taiwan*,Taiwan
Trinidad and Tobago,Tobago
Trinidad and Tobago,Trinidad
United Kingdom,UK
United States,USA
West Bank and Gaza,Palestine
